企业代号,HHI,max_purchase_amount,max_sales_amount,Return_rate,Cancel_rate,Unstable_rate,Cus_rate,Q_avg_income,Q_out_profit_rate,Q_in_profit_rate,Q_profit_growth,Q_output_growth,Q_input_growth,Q_input,Year_avg_Sales
E154,0.365,816056.03,99993.1,0.005,0.046,0.0,0.276,-25893694.797,-1.805,-0.582,0.225,2.307,0.836,47901823.74,22008128.943
E155,0.072,2865843.33,99568.97,0.006,0.032,0.0,0.078,-6631844.137,-0.35,-0.251,0.31,1.144,0.868,29574410.453,22942566.317
E156,0.15,99902.91,990990.99,0.096,0.174,2.0,-0.012,57538290.897,0.98,118.871,-0.18,-0.26,1.322,824855.54,58363146.437
E157,0.262,970873.79,97087.38,0.087,0.1,0.333,0.914,2859429.453,0.418,1.417,-0.462,1.635,6.969,18648673.167,21508102.62
E158,0.125,970873.79,99999.09,-0.0,0.116,0.0,0.438,3514885.077,0.157,0.19,0.985,2.986,3.422,23788104.353,27302989.43
E159,0.039,999285.71,999346.68,0.014,0.038,0.5,0.011,7430840.14,0.232,0.359,-0.362,0.011,0.345,25187655.847,32618495.987
E160,0.238,999285.71,99981.95,0.032,0.202,1.0,-0.379,19823058.297,0.253,0.366,0.003,0.187,0.293,57151219.193,76974277.49
E161,0.076,281965.81,976912.62,0.016,0.204,0.333,2.585,57416481.847,0.993,328.023,4.723,4.73,-313.146,364435.52,57780917.367
E162,0.083,999056.6,998235.79,0.144,0.111,0.333,-0.18,-11566236.32,-1.987,-0.319,-0.233,4.55,0.545,53547116.37,41980880.05
E163,0.564,1280341.88,999999.97,0.02,0.24,0.333,-0.262,18349720.61,0.383,0.714,0.391,0.069,-0.067,29152645.983,47502366.593
E164,0.039,986460.18,99999.99,0.012,0.145,0.0,-0.018,14731885.217,0.378,0.7,-0.017,0.274,0.756,26845913.177,41577798.393
E165,0.041,943396.23,99933.96,0.038,0.11,1.0,0.404,7127149.407,0.18,0.27,-3.523,1.803,0.515,29844959.843,36972109.25
E166,0.373,97087.38,97087.38,0.212,0.136,0.0,2.528,26751851.29,0.972,89.346,7.557,7.61,21.426,1109208.093,27861059.383
E167,0.075,999984.08,99999.48,0.01,0.079,1.0,-0.515,-18091249.073,-0.505,-0.33,-0.175,0.031,-0.076,54136894.41,36045645.337
E168,0.411,97087.38,970872.82,-0.0,0.03,0.0,0.017,29528445.997,0.988,116121.073,0.675,1.033,4112.637,493703.087,30022149.083
E169,0.044,979160.0,99999.06,0.018,0.057,0.333,0.102,9853810.33,0.356,0.768,-0.136,0.405,1.221,23324071.42,33177881.75
E170,0.156,1254700.85,99999.1,0.021,0.012,0.333,0.194,10424525.77,0.335,0.907,-83.987,3.555,1.432,11633289.14,22057814.91
E171,0.018,759805.05,99528.3,0.017,0.101,0.333,-0.189,19225687.393,0.601,1.653,0.087,0.262,0.65,13361836.8,32587524.193
E172,0.118,673018.94,99924.32,-0.0,0.069,0.333,0.058,7820052.087,0.39,0.662,0.653,1.455,1.825,14660953.643,22481005.73
E173,0.037,1344494.28,99999.15,0.011,0.064,0.0,0.243,-10595474.507,-0.359,-0.264,-3.456,0.976,1.72,40087265.543,29491791.037
E174,0.042,685882.93,99999.52,0.003,0.084,0.5,0.067,-3407512.857,-0.126,-0.11,-0.258,0.111,0.048,31258860.783,27851347.927
E175,0.034,388349.51,99970.79,0.018,0.083,1.0,-0.084,-10129524.387,-0.474,-0.314,-0.128,0.211,0.06,32823516.107,22693991.72
E176,0.107,313046.55,99999.99,0.021,0.136,0.333,-0.243,24260240.323,0.937,16.026,0.146,0.212,0.261,1624027.793,25884268.117
E177,0.071,1927116.5,970873.79,0.015,0.195,1.0,29.76,8461235.013,0.149,0.85,21.301,3.184,1.42,26211620.273,34672855.287
E178,0.023,3369832.43,99999.15,0.016,0.086,0.333,-0.209,-6906924.913,-0.287,-0.22,0.933,0.782,0.852,30019523.91,23112598.997
E179,0.059,1223335.92,99999.0,0.032,0.091,0.0,0.525,3490476.857,0.221,0.664,-1.168,0.61,1.778,14388095.177,17878572.033
E180,0.021,998460.17,99893.81,0.003,0.051,0.333,-0.309,-2377708.663,-0.107,-0.09,-4.658,0.39,0.414,24088862.617,21711153.953
E181,0.521,465811.97,99955.0,0.001,0.055,0.0,2.111,-10311544.99,-0.447,-0.306,9.027,5.28,5.942,33290230.73,22978685.74
E182,0.083,993955.05,99972.31,-0.0,0.03,0.333,0.352,-6131951.447,-0.272,-0.212,1.809,2.296,2.155,27884141.973,21752190.527
E183,0.7,970873.79,97087.38,0.003,0.078,0.0,11.634,11854634.117,0.658,6.096,5.123,5.971,-2917.277,9644618.927,21499253.043
E184,0.144,998571.43,99999.86,0.033,0.024,0.0,3.039,1507953.243,0.096,0.107,0.437,2.478,-26142.693,14648290.317,16156243.56
E185,0.103,228203.85,99909.09,0.006,0.026,1.0,-0.248,28978652.467,0.992,297.083,0.197,0.305,3.418,264801.38,29243453.847
E186,0.75,307758.62,99999.99,-0.0,0.022,0.0,0.125,26439566.59,0.959,24.384,0.67,1.014,1.282,1192374.817,27631941.407
E187,0.039,999285.71,999346.68,0.01,22.404,0.5,0.436,-3777519.497,-0.253,-0.167,-0.044,0.774,0.244,28114629.563,24337110.067
E188,0.039,936752.14,99846.0,0.006,0.041,0.333,0.392,-6774093.11,-0.315,-0.234,1.1,1.214,1.178,29518975.473,22744882.363
E189,0.131,962546.65,94339.62,0.022,0.037,0.0,0.47,2414092.947,-0.213,0.362,-2.121,1.08,5.879,12655916.327,15070009.273
E190,0.116,429249.96,998428.57,0.043,0.16,1.0,2.497,43403706.817,0.986,113.21,4.571,4.586,10.548,574908.023,43978614.84
E191,0.345,7579487.18,99995.69,0.0,0.041,3.0,-0.588,-27600749.49,-0.05,0.608,-0.604,-0.481,-0.814,101804949.45,74204199.96
E192,0.294,999285.71,970873.79,0.021,0.165,0.0,0.889,6842965.27,0.399,1.884,-4.873,1.304,-3306.837,7027311.4,13870276.67
E193,0.008,99957.27,897435.9,0.008,0.073,2.0,-0.235,29823159.123,0.78,4.773,-0.27,-0.307,0.271,6957678.303,36780837.427
E194,0.064,99000.0,99999.0,0.044,0.084,0.333,-0.09,27647682.527,0.872,6.829,0.187,0.294,0.41,4128979.8,31776662.327
E195,0.053,989723.02,99623.93,0.005,0.046,1.0,-0.434,1470456.837,0.016,0.036,-1.1,-0.144,-0.185,30161437.703,31631894.54
E196,0.039,99999.15,99997.93,0.029,0.096,0.333,-0.376,5564374.097,0.246,0.372,2.702,0.067,-0.067,16437713.243,22002087.34
E197,0.037,1513274.33,99999.14,0.013,0.064,0.0,0.398,14376873.42,0.25,0.34,0.592,0.488,0.397,40379949.087,54756822.507
E198,0.088,782608.68,99998.23,0.078,0.127,0.0,0.925,-4009174.567,-0.279,-0.203,0.531,10.407,2.176,22259033.54,18249858.973
E199,0.224,47169.81,99029.13,0.127,0.02,0.5,0.25,21944821.33,0.995,207.822,0.736,1.471,1.194,103393.92,22048215.25
E200,0.048,990046.75,99655.17,0.019,0.094,0.0,0.95,-4356628.263,-0.262,-0.198,3.684,1.017,1.294,18905851.62,14549223.357
E201,0.069,996330.28,99981.65,0.004,0.14,0.0,2.819,1685411.543,0.277,0.589,-1.337,38.379,2.356,14826308.623,16511720.167
E202,0.902,533980.58,99857.14,-0.0,0.009,0.5,0.0,26512349.583,0.847,6.195,0.102,0.076,-0.137,4348751.61,30861101.193
E203,0.351,572413.79,99959.22,0.0,0.032,0.0,0.889,4642532.423,0.338,0.724,5.839,1.628,982.91,9697602.06,14340134.483
E204,0.023,837606.84,99999.12,0.016,0.232,1.0,0.677,7038705.097,0.262,0.482,6.564,0.655,0.888,22549610.153,29588315.25
E205,0.081,990125.01,99957.26,0.008,0.041,2.0,0.523,10809061.94,0.467,3.475,-0.348,-0.121,2.827,10875730.833,21684792.773
E206,0.092,1553398.05,970873.79,0.0,0.055,1.0,4.525,3186771.737,0.011,0.157,-4.156,0.776,0.467,26095932.95,29282704.687
E207,0.574,999285.71,99514.56,0.006,0.04,2.0,-0.221,12755749.12,0.307,0.548,0.348,-0.233,0.025,26299882.727,39055631.847
E208,0.038,881817.55,99999.83,0.02,0.14,0.5,-0.114,-5359854.68,-0.219,-0.173,0.023,-0.03,-0.053,29522058.84,24162204.16
E209,0.013,999047.62,99183.96,0.048,0.164,0.333,0.029,6267340.33,0.319,0.506,0.069,0.634,1.015,15838828.123,22106168.453
E210,0.716,209316.24,99708.74,-0.0,0.069,0.333,-0.056,15672390.89,0.893,9.382,2.88,4.344,4.549,1699236.983,17371627.873
E211,0.045,999523.81,97924.53,0.01,0.071,0.0,0.651,8869012.037,0.669,5.848,0.116,0.817,10.281,7595326.297,16464338.333
E212,0.059,39805.83,94339.63,0.011,0.141,0.333,-0.214,25256745.987,0.998,505.007,0.131,0.197,0.735,57658.917,25314404.903
E213,0.035,4138230.09,99829.06,0.011,0.102,0.333,0.427,421266.42,0.022,0.028,-3.575,1.704,1.36,17035102.84,17456369.26
E214,0.038,947332.86,970873.79,0.01,0.21,0.0,2.558,9567160.44,0.42,0.768,1.984,3.272,8.415,13558088.093,23125248.533
E215,0.216,49009.43,99952.38,-0.0,0.077,1.0,1.306,23145982.287,0.996,282.994,12.396,18.564,11.874,75317.737,23221300.023
E216,0.15,1844660.19,99999.99,0.004,0.136,0.333,0.043,5942514.207,0.263,0.434,17.582,0.648,0.206,12448856.99,18391371.197
E217,0.069,994188.04,99851.29,0.011,22.299,0.5,0.524,-6277290.76,-0.358,-0.252,1.007,0.347,0.54,22022869.65,15745578.89
E218,0.439,873786.41,917431.19,-0.0,0.257,0.333,8.607,-550595.867,-0.253,0.106,-2.038,-13004.492,9.497,15633547.813,15082951.947
E219,0.071,254858.97,99999.99,0.056,0.208,0.0,0.519,-1744030.053,-0.185,-0.145,0.759,-22231.397,5.323,14290276.703,12546246.65
E220,0.358,970873.79,99967.18,0.003,0.055,0.333,1.345,4500246.54,0.171,0.224,1.115,1.348,4.028,20381627.94,24881874.48
E221,0.037,1079766.99,94339.62,0.02,0.05,0.5,0.936,3172757.593,0.22,0.436,-4.77,0.316,0.299,11954898.343,15127655.937
E222,0.069,999047.62,99999.99,0.016,0.187,0.333,-0.257,896716.377,0.006,0.031,-0.962,0.361,0.169,21145266.837,22041983.213
E223,0.22,788793.1,99934.52,0.037,0.124,0.0,2.0,-8131511.06,-0.883,-0.428,0.286,4.692,2.301,23421677.505,15290166.445
E224,0.117,1941353.99,99984.62,0.011,0.013,1.0,1.241,-14790529.847,-0.566,-0.341,7.513,2.238,3.306,40545384.85,25754855.003
E225,0.021,108116.5,94339.62,0.014,0.088,0.333,-0.199,4872724.07,0.23,0.299,0.039,0.088,0.1,16364556.043,21237280.113
E226,0.408,877105.33,99999.09,0.009,0.061,0.333,4.917,-3902074.87,-0.369,-0.12,3.661,21.482,-24077.095,18034245.407,14132170.537
E227,0.052,899571.43,99099.1,0.006,0.057,0.333,4.77,-2320230.263,-0.163,-0.128,-5.675,3.779,3149.893,20096141.06,17775910.797
E228,0.03,916410.26,99999.99,0.108,0.213,0.0,1.277,10730256.287,0.477,1.019,2.768,1.727,1.256,10940616.11,21670872.397
E229,0.663,924528.3,99999.96,0.001,0.104,0.0,0.548,-4611205.673,-0.299,-0.223,0.366,0.982,0.765,20282825.707,15671620.033
E230,0.044,9708.74,99857.14,0.034,0.119,0.333,1.161,17542228.41,0.998,1821.511,3.973,3.965,3.04,40885.243,17583113.653
E231,0.231,999285.71,99999.99,-0.0,0.099,0.333,1.333,-1803989.957,-0.039,-0.018,4.159,6.813,8.139,12875173.997,11071184.04
E232,0.248,429962.26,943396.23,0.145,0.014,1.0,0.667,2328989.397,-16.552,0.194,-1.394,65.265,-0.202,12703071.513,15032060.91
E233,0.844,17475.73,99999.09,-0.0,0.025,0.0,0.5,6190617.09,0.744,24.961,146.713,66.565,11.967,148410.917,6339028.007
E234,0.018,485344.83,99975.42,0.01,0.046,0.333,0.57,9761826.76,0.842,5.454,2.766,3.997,3.308,1677981.96,11439808.72
E235,0.099,769230.77,99973.45,0.007,0.06,0.0,0.106,6423099.44,0.552,1.378,0.275,0.48,1.03,5561148.267,11984247.707
E236,0.181,99029.13,99568.97,0.019,0.297,0.5,0.831,16308860.5,0.902,17.633,-0.055,0.011,3.115,1824952.943,18133813.443
E237,0.312,320388.35,99825.69,-0.0,0.203,0.0,0.391,450978.953,109.659,-0.44,16.007,-8464.674,53.29,6743110.24,7194089.193
E238,0.003,605344.83,9995.28,0.066,0.081,0.5,0.001,12939829.29,0.668,4.908,-0.229,-0.051,2.94,6180132.87,19119962.16
E239,0.074,968617.86,99999.14,0.008,0.131,0.0,0.111,-2768848.237,6.89,-0.517,1154.547,-43384.151,4006.547,11263388.093,8494539.857
E240,0.443,970873.79,973902.91,0.023,4.924,0.0,0.25,21416780.563,23858.009,1.727,-21.066,-67965.101,0.425,11176194.99,32592975.553
E241,0.557,120337.79,99966.7,0.004,0.096,0.0,-0.509,9332588.553,0.799,5.587,0.075,0.079,1.134,2344519.82,11677108.373
E242,0.238,466019.47,99973.45,0.025,12.537,0.0,0.548,-1285455.32,-0.235,-0.177,7.808,2.036,1.961,7153923.113,5868467.793
E243,0.206,99940.0,99985.9,-0.0,0.038,0.333,-0.042,7223105.63,0.82,5.215,0.209,0.351,0.766,1625787.97,8848893.6
E244,0.354,517009.49,99999.99,0.031,0.213,0.5,0.021,6417971.57,0.474,1.078,-0.031,0.078,0.259,5886067.04,12304038.61
E245,0.126,9708.74,97087.38,0.055,0.117,0.0,2.579,9037317.84,0.995,307.131,0.597,0.901,4.154,49398.93,9086716.77
E246,0.156,1000000.0,99056.6,0.022,0.097,0.333,3.872,7997488.03,0.77,4.591,2.762,3.304,-3511.115,2512543.28,10510031.31
E247,0.583,263203.88,99827.59,-0.0,0.067,0.333,0.06,1869666.083,0.23,0.362,-98.231,0.976,0.555,4551926.48,6421592.563
E248,0.088,685000.0,99999.09,0.01,0.144,0.333,1.541,1097721.88,0.172,0.255,-3.372,0.634,1.351,5200824.937,6298546.817
E249,0.973,961165.05,970873.79,-0.0,0.003,3.0,-0.167,3481235.48,0.064,3.054,-0.574,-0.348,5.032,12412317.937,15893553.417
E250,0.062,698865.09,99382.04,0.034,0.171,0.333,-0.117,6951102.123,0.677,2.148,0.109,0.125,0.098,3275527.833,10226629.957
E251,0.129,221238.94,99391.15,0.054,0.214,0.333,9.718,618495.027,-0.3,-0.042,5.277,6.521,-868.715,3831229.573,4449724.6
E252,0.132,532885.52,952380.95,0.018,0.036,1.0,-0.283,808344.56,0.008,0.09,-1.577,0.0,-0.155,10769357.093,11577701.653
E253,0.033,184359.11,136721.36,0.005,0.196,0.0,2.735,2104115.89,0.268,0.493,-7.034,10.665,1.645,6670790.11,8774906.0
E254,0.247,707964.6,97087.38,0.003,0.072,3.0,-0.079,10330171.617,0.869,59.517,-0.149,-0.065,5.849,1448654.527,11778826.143
E255,0.433,868602.82,99999.99,0.039,0.052,0.5,0.135,6441364.127,0.569,1.337,0.044,0.033,-0.002,4938247.54,11379611.667
E256,0.043,99987.18,99845.74,0.003,0.023,1.0,-0.356,4252832.173,0.511,1.234,0.209,-0.005,-0.249,4121431.697,8374263.87
E257,0.088,557052.78,99655.17,0.033,0.135,0.5,-0.109,1833512.337,0.234,0.324,-0.245,0.055,0.222,6138104.94,7971617.277
E258,0.164,274695.0,99999.99,0.013,0.063,3.0,-0.342,17070783.697,0.675,2.917,-0.396,-0.51,-0.149,5510801.857,22581585.553
E259,0.013,291262.14,99339.62,0.026,0.09,1.0,-0.248,3416488.053,0.327,0.554,-0.24,0.028,0.304,7001665.02,10418153.073
E260,0.041,414741.38,99618.73,0.016,0.132,0.333,-0.218,60128.273,-0.065,-0.044,-2.269,1.179,0.834,6979793.19,7039921.463
E261,0.052,99557.52,97787.61,0.012,0.157,0.0,1.112,1738098.377,0.264,0.42,5.053,2.556,2.504,3388651.34,5126749.717
E262,0.225,424366.82,99899.12,0.004,0.044,0.5,-0.017,829465.383,0.113,0.128,0.248,0.08,0.048,6401995.243,7231460.627
E263,0.217,998244.42,99999.0,0.025,0.196,1.0,-0.383,4335414.02,0.491,5.754,-0.378,0.147,5.031,5061542.487,9396956.507
E264,0.508,868602.82,99999.99,0.041,22.466,0.5,0.429,-3608992.943,-0.615,-0.342,-0.184,1.105,0.363,11279923.83,7670930.887
E265,0.069,695876.75,99300.0,0.044,0.118,1.0,-0.151,-1373943.847,-0.192,-0.135,-29.981,1.006,1.059,8656616.277,7282672.43
E266,0.602,188679.25,99913.79,0.023,0.092,1.0,0.1,7546831.307,0.936,14.879,-0.049,-0.068,0.015,505046.473,8051877.78
E267,0.187,99970.0,99999.9,0.015,0.133,2.0,-0.274,7575249.525,0.873,556.046,-0.373,-0.66,94.421,525306.5,8100556.025
E268,0.294,776699.03,99999.99,0.032,0.042,1.0,1.678,6278250.873,0.681,124.821,67.858,68.253,-69.996,2082242.667,8360493.54
E269,0.733,273504.27,997655.56,0.02,0.123,3.0,-0.317,9196450.78,0.969,35.052,-0.3,-0.457,-0.624,339651.153,9536101.933
E270,0.264,99774.16,99988.37,0.015,0.255,0.0,0.113,4822350.34,0.597,2.207,1.041,0.801,-0.006,2279853.003,7102203.343
E271,0.079,976923.08,946902.66,0.05,0.473,0.333,1.241,1210965.19,0.072,0.147,-1.003,0.098,-0.041,8001763.847,9212729.037
E272,0.153,109944.92,99137.93,0.084,0.108,0.0,0.225,2609402.007,0.603,1.523,0.342,0.507,0.51,1724734.593,4334136.6
E273,0.001,469664.29,9825.24,0.002,0.012,0.5,-0.164,3591180.04,0.477,0.914,-0.115,-0.147,-0.122,3891587.35,7482767.39
E274,0.116,22718.45,97087.38,0.007,0.115,0.0,0.833,6326415.24,0.998,668.182,1.108,2.224,10.802,18394.0,6344809.24
E275,0.073,305512.82,97087.38,0.065,0.263,1.0,-0.322,6686001.32,0.909,10.756,0.068,0.089,0.142,652385.61,7338386.93
E276,0.148,307724.25,99933.21,0.041,0.128,0.333,-0.365,2454886.55,0.68,19.689,-0.095,0.431,11.083,1611366.033,4066252.583
E277,0.743,136785.93,99561.06,0.005,0.061,0.5,-0.028,476975.073,0.112,0.198,-24.492,0.146,0.629,4924685.173,5401660.247
E278,0.133,157345.13,99833.63,0.012,0.069,0.333,-0.05,-774841.083,-0.155,-0.108,-3.337,0.997,1.43,4525039.373,3750198.29
E279,0.817,156123.71,99999.67,0.085,0.053,1.0,0.722,1017846.477,0.11,0.166,0.12,1.138,1.467,6454814.52,7472660.997
E280,0.034,248377.3,99998.23,0.007,0.085,0.5,0.216,459050.287,0.114,0.157,-1.562,0.296,0.616,4754293.967,5213344.253
E281,0.206,1247906.12,97849.72,0.002,0.065,1.0,-0.047,-2169603.177,-0.479,-0.305,-0.082,0.568,0.299,7325660.557,5156057.38
E282,0.095,275585.32,97456.56,0.011,0.049,1.0,0.048,2571286.41,0.369,0.591,0.007,-0.011,0.005,4380661.37,6951947.78
E283,0.132,99833.57,99783.26,-0.0,0.026,0.333,0.415,-466612.603,-0.103,-0.071,-3.263,2.855,6.704,5988636.023,5522023.42
E284,0.306,99120.0,99829.06,0.0,0.055,0.333,-0.184,396791.353,0.067,0.08,-63.998,0.376,0.268,4299521.273,4696312.627
E285,0.067,660377.36,99987.93,0.012,0.137,0.0,-0.16,2951056.427,0.241,0.811,-3.079,0.266,-0.005,7045181.693,9996238.12
E286,0.13,344827.59,99999.34,0.015,0.295,0.5,-0.139,-28754.03,0.007,0.008,-1.167,1.063,1.206,6565567.185,6536813.155
E287,0.113,347844.83,88938.05,0.004,0.156,0.0,0.461,-1095254.853,-0.247,-0.192,2.809,1.726,1.864,5777194.307,4681939.453
E288,0.12,99994.87,99871.55,0.016,0.281,0.5,0.09,559419.017,0.135,0.503,-0.46,0.106,1.657,5192522.067,5751941.083
E289,0.079,290598.29,95904.66,0.005,0.042,3.0,-0.27,4273098.627,0.61,3.277,-0.032,-0.117,2.054,2694745.39,6967844.017
E290,0.121,99568.97,99319.46,0.009,0.172,0.333,-0.395,3544107.727,0.641,1.952,0.042,0.165,0.584,2063445.277,5607553.003
E291,0.953,3840282.86,99997.26,0.01,0.045,1.0,13.552,-3385447.067,-43.765,-0.582,-0.178,151.989,0.894,6675986.973,3290539.907
E292,0.199,115323.16,17517.36,0.001,0.028,0.333,3.236,1145037.6,0.358,0.615,11.047,20.082,110.946,2529979.033,3675016.633
E293,0.561,834651.66,99534.48,-0.0,0.1,0.333,0.278,-772593.053,-0.145,0.039,-1.489,1.836,4.717,2962320.673,2189727.62
E294,0.068,98290.6,99829.06,0.004,0.166,2.0,-0.062,5769318.863,0.771,4.35,-0.145,-0.13,0.639,1650179.92,7419498.783
E295,0.051,927929.35,99984.42,0.008,0.237,0.333,0.767,137378.517,0.008,0.013,-7.074,1.06,1.058,4232061.007,4369439.523
E296,0.35,98079.72,99999.0,0.107,0.176,1.0,0.405,2178616.857,0.365,0.707,78.139,20.077,10.48,2192065.043,4370681.9
E297,0.42,963362.07,99627.35,-0.0,0.112,1.0,0.25,333132.92,0.671,-0.662,-56.357,-34609.917,42935.881,3519653.333,3852786.253
E298,0.292,27851.72,9708.74,0.009,0.137,1.0,-0.489,3513692.173,0.664,190.717,-0.03,0.385,43.011,1895893.27,5409585.443
E299,0.291,884955.75,796460.18,0.022,0.155,0.333,44.511,-2174831.093,-0.284,-0.195,8.714,0.296,0.606,8786065.45,6611234.357
E300,0.154,154867.25,99990.0,0.017,0.087,0.333,0.608,166479.543,0.144,0.574,-3.426,4.769,12.84,4411834.96,4578314.503
E301,0.12,92233.01,97087.38,0.01,0.075,0.333,-0.267,3837918.097,0.764,5.205,0.148,0.434,2.275,1387516.253,5225434.35
E302,0.086,365010.34,99487.18,0.008,0.111,0.333,-0.285,1443268.647,0.437,0.847,1.27,1.048,0.612,1475711.817,2918980.463
E303,0.099,677758.62,99999.99,0.0,0.028,1.0,-0.187,4326107.987,0.779,44.137,0.486,0.217,28.948,1054072.497,5380180.483
E304,0.044,379646.02,99115.04,-0.0,0.053,0.0,2.514,-3705302.33,-1.219,-0.543,15.56,2.655,4.639,6444680.29,2739377.96
E305,0.198,978833.33,970873.79,0.005,0.251,3.0,-0.222,12078145.443,0.72,3.36,-0.157,-0.347,-0.501,6558440.217,18636585.66
E306,0.084,99568.97,99999.0,0.029,0.123,0.0,0.224,3023951.893,0.735,6.301,0.057,0.444,3.084,1357454.277,4381406.17
E307,0.325,192233.01,97087.38,-0.0,0.185,0.333,0.639,678389.913,0.567,1.646,2.828,6.108,12.251,1030492.273,1708882.187
E308,0.001,99999.98,9999.0,0.005,0.101,0.333,9.707,1304863.253,0.354,1.007,15.042,13.857,11.827,2919483.35,4224346.603
E309,0.084,99928.57,99082.57,0.005,0.207,0.5,0.563,2312627.853,0.473,1.601,-0.193,0.283,2.012,2525279.267,4837907.12
E310,0.022,198000.0,97087.38,0.031,0.088,1.0,0.009,2407870.613,0.667,2.256,1.277,1.792,1.648,1211418.357,3619288.97
E311,0.042,62663.72,97087.38,0.052,0.118,1.0,24.492,2890633.337,1.972,2.468,-13.011,-99.421,4.816,705561.887,3596195.223
