企业代号,HHI,max_purchase_amount,max_sales_amount,Return_rate,Cancel_rate,Unstable_rate,Cus_rate,Q_avg_income,Q_out_profit_rate,Q_in_profit_rate,Q_profit_growth,Q_output_growth,Q_input_growth,Q_input,Year_avg_Sales,level
E22,0.088,858407.08,99926.97,0.005,0.145,0.0,0.986,11233324.433,0.179,0.37,2.2,5.257,4.395,26891856.587,38125181.02,1.0
E23,0.054,999837.48,99998.33,0.006,0.017,1.0,0.411,-14305046.373,-0.306,-0.23,1.263,0.994,1.044,62534934.82,48229888.447,2.0
E24,0.139,996871.79,99999.09,0.013,0.087,0.333,0.388,12408902.323,0.434,1.053,0.426,0.432,0.37,22051461.02,34460363.343,1.0
E25,0.044,838214.56,3978956.9,0.012,0.109,1.0,-0.313,6338558.558,0.749,3.556,0.256,0.369,0.452,2576201.768,8914760.325,3.0
E26,0.071,986171.72,99858.96,0.001,0.105,0.333,2.301,-3304755.93,-0.299,-0.228,2.809,309.206,12.237,14666113.613,11361357.683,1.0
E27,0.064,282639.64,99881.81,0.006,0.043,0.0,1.296,-3423862.72,-0.268,-0.208,1.378,2.893,2.365,16794462.9,13370600.18,1.0
E28,0.315,97087.38,899099.1,-0.0,0.092,0.333,0.028,11708512.667,0.972,433.46,0.751,1.005,1.145,383584.618,12092097.285,2.0
E29,0.288,142564.1,99902.91,-0.0,0.011,0.5,1.0,14548812.633,0.995,1976.797,0.533,0.794,-0.722,62306.147,14611118.78,3.0
E30,0.179,444444.44,99999.99,-0.0,0.072,0.333,0.75,14734407.36,0.655,2.298,-436.297,-35503.576,151.115,8442024.787,23176432.147,2.0
E31,0.067,128974.36,99982.3,0.001,0.04,0.333,-0.231,9199522.218,0.864,8.919,-0.059,-0.168,-0.359,1276642.895,10476165.112,1.0
E32,0.534,100000.0,97087.38,0.004,0.072,0.5,0.524,14426757.527,0.941,40.403,0.43,0.618,4.327,869287.573,15296045.1,2.0
E33,0.047,949185.71,99999.0,0.014,0.176,3.0,-0.286,-2115499.715,-0.073,-0.056,3.689,-0.407,-0.373,21162936.438,19047436.723,2.0
E34,0.273,898058.25,970873.79,0.003,0.054,0.333,4.274,8744052.883,0.353,2.267,-43.327,65.847,6.211,21109028.69,29853081.573,2.0
E35,0.156,730750.46,99911.5,0.0,0.04,0.0,0.838,-1354689.35,-0.139,-0.117,1.018,2.553,1.395,11973901.81,10619212.46,2.0
E36,0.028,252762.37,99914.53,0.023,0.082,0.0,0.162,3001351.583,0.239,0.355,1.25,0.533,0.314,7903991.193,10905342.777,4.0
E37,0.024,973467.24,99999.99,0.01,0.119,0.333,0.03,-2740085.663,-0.212,-0.152,-0.209,0.043,-0.035,13038162.67,10298077.007,2.0
E38,0.421,977360.0,98703.0,0.007,0.124,0.5,1.833,12134759.32,0.74,64.739,0.04,0.479,54.305,5321284.103,17456043.423,2.0
E39,0.948,64398.06,992000.0,0.011,0.106,0.0,0.25,9247066.153,0.988,102.874,1.6,2.397,2.937,124707.82,9371773.973,3.0
E40,0.01,120517.24,99982.53,0.07,0.044,0.333,1.945,7387560.2,0.886,9.593,0.587,0.885,2.219,1211755.157,8599315.358,3.0
E41,0.337,213550.44,99891.82,0.03,0.099,0.333,-0.083,7250935.74,0.827,5.407,0.31,0.432,1.04,1472003.872,8722939.612,3.0
E42,0.077,1003.54,99999.9,0.019,0.118,0.333,0.422,7330085.85,1.0,-18316.332,1.264,1.686,-37.193,2942.25,7333028.1,1.0
E43,0.362,775862.07,99999.99,0.022,0.151,0.0,0.0,4877122.077,72.348,1.857,-89.593,-43835.791,68.224,1632176.583,6509298.66,2.0
E44,0.36,683760.68,99998.78,0.013,0.059,0.0,0.082,-1756093.833,-0.17,-0.143,14.682,3.074,3.349,11427620.68,9671526.847,3.0
E45,0.112,466019.47,99973.45,0.019,0.069,0.0,1.288,-1532267.51,-0.135,-0.103,-6.659,2.652,3.077,9054997.77,7522730.26,2.0
E46,0.034,924679.65,99056.6,0.04,0.089,1.0,2.722,1591116.127,0.076,0.091,27.193,11.269,9.958,18190019.913,19781136.04,3.0
E47,0.02,839295.84,99998.79,0.007,0.064,1.0,0.386,-1996341.223,-0.135,-0.112,3.967,1.388,1.487,15754254.623,13757913.4,3.0
E48,0.06,99995.69,99575.22,0.001,0.058,0.333,0.202,7593420.427,0.659,1.955,0.479,0.562,0.459,3717211.363,11310631.79,1.0
E49,0.061,224629.4,94339.62,0.016,0.119,1.0,-0.085,2519100.525,0.092,0.586,0.716,-0.147,0.911,7155273.988,9674374.513,3.0
E50,0.129,954353.98,97087.38,0.073,0.115,0.0,1.0,5728206.903,0.914,127.872,0.442,1.002,23.776,1000411.763,6728618.667,3.0
E51,0.105,761061.95,98108.11,0.004,0.059,0.0,1.476,1236338.103,0.103,0.168,22.412,12.722,11.292,7550397.543,8786735.647,2.0
E52,0.403,881415.93,99137.93,0.006,0.169,0.333,0.157,-45073.713,0.172,6.176,-1.024,2.22,50.96,4804755.635,4759681.922,4.0
E53,0.082,235384.62,943396.23,0.006,0.119,0.0,0.234,203894.59,0.029,0.033,0.202,0.596,0.662,12402696.983,12606591.573,3.0
E54,0.016,104761.9,99145.3,0.008,0.104,0.333,-0.383,5862503.773,0.71,2.795,0.0,-0.167,-0.411,2376274.952,8238778.725,1.0
E55,0.15,724137.93,99905.66,0.21,0.114,0.333,0.389,2817890.055,2364.254,1.581,-0.57,-0.209,0.841,3089473.37,5907363.425,3.0
E56,0.205,760475.0,99230.77,0.012,0.071,0.333,-0.022,-1951388.905,-0.148,11.935,1.439,0.374,0.176,7940683.837,5989294.932,3.0
E57,0.111,2996234.48,97643.81,0.02,0.138,0.0,3.012,-720841.397,0.117,0.387,72.039,129.142,1773.897,11047386.85,10326545.453,2.0
E58,0.223,889704.04,99082.57,0.013,0.373,0.0,-0.145,6935826.907,0.709,2.466,0.563,0.761,0.578,2703009.56,9638836.467,2.0
E59,0.027,99274.49,99999.46,0.001,0.057,1.0,-0.292,353044.157,0.162,0.357,4.358,-0.066,-0.194,5592023.795,5945067.952,1.0
E60,0.271,190689.66,97203.88,0.006,0.484,0.333,0.3,1494062.838,0.538,218.638,6.353,2.801,3.279,1373881.892,2867944.73,2.0
E61,0.149,53656.55,93600.0,0.024,0.025,3.0,-0.549,3627754.43,0.898,12.984,-0.298,-0.39,-0.263,235730.2,3863484.63,2.0
E62,0.128,97087.38,94338.68,0.123,0.184,1.0,-0.532,2315682.745,0.911,-11.157,-0.36,-0.415,0.249,324897.745,2640580.49,2.0
E63,0.182,470405.66,99999.23,0.004,0.061,3.0,-0.732,365161.292,11.589,-0.659,-1.227,-0.834,-0.83,10042920.578,10408081.87,2.0
E64,0.074,25097.14,9999.58,-0.0,0.053,0.333,-0.377,2300972.282,0.977,84.472,-0.177,-0.235,-0.138,22658.512,2323630.795,1.0
E65,0.188,99995.3,98630.03,0.008,0.105,0.333,0.06,556582.655,0.413,13.817,-12.369,-0.003,-0.215,1299778.772,1856361.427,2.0
E66,0.17,99998.0,99998.0,0.003,0.094,0.333,3.087,-135841.918,-1.1,0.373,-52.39,9.632,111.099,1364139.577,1228297.66,2.0
E67,0.109,20368.87,97087.38,0.017,0.117,0.333,0.583,1178381.097,45.25,4.131,0.418,0.717,1.851,344102.637,1522483.735,2.0
E68,0.463,264.15,99987.0,-0.0,0.099,1.0,0.0,3175791.065,1.0,11242.113,-0.311,-0.622,-0.5,370.0,3176161.065,3.0
E69,0.699,3155.34,9999.99,0.081,0.118,0.5,0.266,1314656.323,0.997,-12017.691,2.671,3.959,-0.516,1083.333,1315739.657,3.0
E70,0.144,263922.42,99863.25,0.017,0.186,1.0,-0.406,718140.445,0.349,0.786,-0.663,-0.365,-0.111,1626404.297,2344544.742,2.0
E71,0.098,188888.0,99999.0,0.003,0.043,0.5,0.054,274895.67,-0.221,0.616,-0.995,0.37,-0.5,3977410.037,4252305.707,2.0
E72,0.115,347062.17,99990.0,-0.0,0.015,1.0,0.91,698736.04,-0.097,1.308,-3.394,13.05,0.702,387145.692,1085881.732,3.0
E73,0.381,25641.03,99419.83,0.046,0.067,3.0,-0.204,1156100.775,0.574,4.455,-0.375,-0.494,-0.233,217694.615,1373795.39,3.0
E74,0.134,64800.0,9990.0,0.018,0.082,0.333,0.468,993779.85,0.962,162.494,1.212,1.679,143.242,84328.75,1078108.6,2.0
E75,0.008,105440.77,9708.74,0.001,0.098,3.0,-0.429,1028778.307,0.476,1.43,-0.477,-0.442,-0.052,689670.062,1718448.37,3.0
E76,0.098,99811.32,99056.6,0.002,0.065,0.333,0.174,768008.742,0.66,3.753,0.235,-0.139,-0.572,234377.653,1002386.395,2.0
E77,1.0,93241.85,93476.19,0.011,0.032,1.0,-0.25,866091.012,78.089,3.96,-0.32,-0.447,-0.224,202443.75,1068534.762,3.0
E78,0.235,230394.02,99554.27,-0.0,0.094,2.0,-0.707,1834311.943,0.647,2.132,-0.365,-0.597,-0.664,1249656.207,3083968.15,3.0
E79,0.207,82035.85,99000.0,-0.0,0.105,0.333,-0.139,20046.297,-0.009,0.193,-7.59,-0.083,-0.453,831113.145,851159.442,2.0
E80,0.049,952380.95,93538.9,-0.0,0.026,0.333,1.405,233667.653,-1.91,18.433,-0.574,2.703,-0.061,650758.932,884426.585,3.0
E81,0.045,81126.55,9137.93,0.003,0.06,1.0,-0.175,165858.82,0.348,1.034,0.308,-0.265,-0.337,589559.133,755417.953,1.0
E82,0.955,94171.1,9997.45,0.005,0.026,1.0,0.55,187872.828,1.104,-0.04,1.068,-0.16,-0.328,444252.08,632124.908,4.0
E83,0.031,576013.94,9707.77,0.002,0.071,1.0,-0.651,-9418354.443,-75.835,-0.9,0.169,-0.342,0.108,10296530.04,878175.597,2.0
E84,0.078,194700.85,99914.53,0.015,0.158,1.0,-0.096,766769.54,0.424,1.952,-0.113,-0.29,-0.321,415715.912,1182485.453,1.0
E85,0.125,95242.72,97086.41,-0.0,0.139,1.0,-0.173,625777.18,0.879,57.517,0.093,0.128,0.173,109002.855,734780.035,2.0
E86,0.499,99857.14,977281.55,0.274,0.942,1.0,0.167,578522.46,176.355,824.784,-2.145,0.595,1569.908,440695.895,1019218.355,3.0
E87,0.336,120000.0,99588.65,-0.0,0.047,1.0,-0.096,468637.785,0.471,1.41,47.594,0.338,-0.266,449562.527,918200.312,3.0
E88,0.044,16037.74,9708.74,0.013,0.106,0.333,0.058,473503.738,0.795,8.465,-0.103,-0.026,0.773,170864.615,644368.353,1.0
E89,0.086,99495.24,86206.9,-0.0,0.057,1.0,-0.317,-291329.248,-0.829,57.343,-0.516,-0.09,0.714,705860.672,414531.425,1.0
E90,0.384,77013.0,98700.0,0.025,0.403,0.333,-0.475,874545.967,0.872,10.841,0.142,0.411,5.364,196969.142,1071515.11,3.0
E91,0.036,61538.46,71452.99,0.003,0.063,1.0,-0.069,121560.775,0.229,0.335,1.565,-0.163,-0.334,403795.545,525356.32,1.0
E92,0.439,28200.0,94660.19,0.048,0.103,1.0,0.333,550967.308,0.627,30.256,-19.052,9.475,1.723,39941.602,590908.91,3.0
E93,0.114,20258.62,87184.46,0.027,0.042,1.0,-0.394,289258.848,0.845,12.999,-0.013,0.156,3.73,83846.707,373105.555,2.0
E94,0.124,13210.25,9708.74,0.069,0.114,0.0,-0.75,374048.57,0.976,-647.947,0.389,0.507,-1.903,5448.667,379497.237,3.0
E95,0.032,281.13,9707.77,-0.0,0.062,1.0,-0.531,594810.828,1.003,2631.395,-0.252,-0.336,-0.726,284.5,595095.328,2.0
E96,0.647,2310881.9,99223.3,-0.0,0.064,0.0,1.0,-317248.5,19.097,538.755,101.973,-669.555,166.828,811823.32,494574.82,3.0
E97,0.114,3773.58,9677.67,0.012,0.009,0.5,0.042,310213.873,0.984,125.546,0.318,0.468,0.15,6626.667,316840.54,2.0
E98,0.164,97087.38,88571.84,0.05,0.257,1.0,0.214,375381.05,0.9,64.493,-0.083,-0.014,1.696,52372.245,427753.295,2.0
E99,0.632,909090.91,423492.64,-0.0,0.264,0.5,0.0,-1858959.423,511.381,-0.813,9.281,-4212.65,16.714,2334006.537,475047.113,4.0
E100,0.151,2465.49,91000.0,0.153,0.029,1.0,-0.325,161680.047,0.965,75.993,-0.176,-0.219,1.308,5830.755,167510.802,4.0
E101,0.66,34883.62,62803.65,-0.0,0.842,1.0,0.0,239326.275,0.934,48.418,-0.365,-0.761,-0.978,26579.0,265905.275,4.0
E102,0.393,56026.13,9994.87,0.061,0.06,0.333,0.638,-841859.483,-21.354,-0.925,-0.222,-0.166,-0.287,927220.96,85361.478,4.0
E103,0.215,93500.7,94339.62,0.006,0.133,0.333,1.833,255953.662,296.225,0.883,-7.225,-2286.203,2.481,192390.303,448343.965,4.0
E104,0.086,264.15,58446.6,0.172,0.074,0.0,1.333,136662.99,1.0,157.88,0.769,1.541,-2.8,140.0,136802.99,3.0
E105,0.024,2871.79,9999.86,0.027,0.01,1.0,-0.002,224499.962,0.994,-41.17,-0.265,-0.356,-0.664,2120.0,226619.962,3.0
E106,0.034,11133.02,9902.91,0.033,0.092,0.333,0.075,139788.025,0.916,-33.708,0.052,-0.013,2.892,15365.275,155153.3,2.0
E107,0.408,67200.0,94339.62,-0.0,0.126,0.5,1.125,246956.78,0.826,-53.389,2.335,1.339,-0.859,30757.0,277713.78,4.0
E108,0.21,9707.77,9708.74,0.0,0.0,1.0,2.0,19876.002,10.971,0.473,-147.338,-416.01,-235.764,26555.738,46431.74,4.0
E109,0.208,739.81,80718.45,-0.0,0.497,0.5,2.783,212804.24,0.995,213.755,2.484,3.718,4.102,1123.667,213927.907,4.0
E110,0.192,435.09,9708.74,-0.0,0.358,1.0,1.708,64580.51,1.601,338.37,0.974,1.264,-0.694,260.0,64840.51,3.0
E111,0.33,92456.9,97087.38,0.617,1.03,1.0,-0.104,124280.005,0.12,2.265,0.144,1.111,3.992,163324.155,287604.16,4.0
E112,0.994,51911.17,93410.08,0.056,0.533,0.5,1.0,67832.3,134.08,-0.102,-3.661,-0.418,-0.63,329551.297,397383.597,4.0
E113,0.327,133398.06,29646.01,-0.0,0.034,0.5,0.5,-370739.077,516.386,-0.66,1.367,-958.325,2.694,452662.91,81923.833,4.0
E114,0.052,61061.95,9856.31,0.018,0.156,3.0,-0.397,-113560.19,-2.698,26.493,-0.858,-0.421,0.84,175110.5,61550.31,4.0
E115,0.105,264.15,33980.58,-0.0,0.892,0.0,2.0,50808.54,0.991,-435.551,4.496,8.698,-1.556,140.0,50948.54,4.0
E116,0.075,541.75,9990.29,-0.0,0.112,0.5,-0.589,82265.737,0.962,115.971,-0.125,-0.181,1.199,935.417,83201.153,4.0
E117,1.0,3689.32,72405.45,-0.0,0.37,0.0,0.0,353708.9,0.991,693.555,0.159,0.339,28.087,3560.0,357268.9,4.0
E118,0.108,59986.73,67548.54,0.002,0.149,1.0,-0.046,33700.658,7.361,230.123,-0.73,-0.604,303.066,42285.698,75986.355,4.0
E119,0.062,12660.75,2427.18,-0.0,0.014,0.333,0.725,-53681.182,47.686,-0.858,1.036,0.276,0.928,62449.332,8768.15,4.0
E120,0.305,10141.51,75728.16,-0.0,0.0,0.5,10.75,51660.887,0.742,-244.548,1.715,0.274,-129.117,9990.113,61651.0,4.0
E121,0.038,64622.95,1971.0,-0.0,0.032,2.0,0.016,-386540.0,-11.795,-0.916,-0.497,-0.506,-0.732,417039.96,30499.96,4.0
E122,0.119,17636.09,7636.87,0.022,0.43,3.0,-0.433,6737.88,-0.006,1.245,-1.497,-0.713,-0.294,13677.065,20414.945,4.0
E123,0.317,264.15,9655.56,-0.0,0.193,0.5,0.033,68470.107,0.996,380.389,0.822,1.219,0.0,280.0,68750.107,4.0
