企业代号,企业名称,信誉评级
E227,***安全技术有限公司,C
E228,***文化发展有限公司,C
E229,***家贸易有限公司,C
E230,***建筑劳务有限公司,A
E231,***建筑科技有限公司,B
E232,***投资发展有限责任公司,B
E233,***劳务有限公司,C
E234,***机电设备商贸有限公司,C
E235,个体经营E235 ,B
E236,个体经营E236 ,B
E237,个体经营E237 ,B
E238,个体经营E238 ,C
E239,个体经营E239 ,C
E240,个体经营E240 ,C
E241,个体经营E241 ,C
E242,个体经营E242 ,B
E243,***科技有限公司,B
E244,个体经营E244 ,C
E245,***建筑劳务有限公司,B
E246,***物业服务有限公司,B
E247,***石化有限公司,C
E248,***智能科技有限公司,C
E249,***建筑工程有限公司,C
E250,***塑料厂,C
E251,***医疗器械有限责任公司,B
E252,***印务有限公司,B
E253,***钢结构工程有限公司,A
E254,***设备安装工程有限公司,B
E255,个体经营E255 ,C
E256,***物资有限公司,A
E257,***门窗安装有限公司,C
E258,***国际货运有限公司,B
E259,***文化传媒有限公司,C
E260,***广告有限公司,C
E261,***医疗器械有限公司,A
E262,个体经营E262 ,B
E263,***通信工程有限公司,B
E264,个体经营E264 ,C
E265,***净化工程有限公司,C
E266,***煤矿机械有限公司,C
E267,***林园艺场,B
E268,***建筑劳务有限公司,B
E269,***节能服务有限公司,C
E270,个体经营E270 ,B
E271,***科技有限公司,C
E272,个体经营E272 ,B
E273,个体经营E273 ,C
E274,***建筑劳务有限公司,B
E275,***网络工程有限公司,C
E276,***体育设施工程有限公司,B
E277,***消防设备制造有限公司,C
E278,***贸易有限公司,B
E279,***环保包装有限公司,C
E280,个体经营E280 ,C
E281,***商业管理有限责任公司,B
E282,***影城有限公司***分公司,B
E283,***机械铸造有限责任公司,B
E284,***成焊科技有限公司,B
E285,个体经营E285 ,C
E286,***印务有限公司,B
E287,***鞋材有限公司,B
E288,个体经营E288 ,B
E289,***运业有限公司***分公司,C
E290,***机电有限公司,B
E291,***文业建设工程有限公司,C
E292,***物流有限公司,B
E293,***物资有限公司,C
E294,个体经营E294 ,A
E295,***电器设备制造有限公司,C
E296,***装饰设计工程有限公司,C
E297,***建筑机械租赁有限公司,C
E298,***电器维护服务有限公司,B
E299,***压缩天然气有限责任公司,B
E300,***建设工程有限公司,B
E301,***企业管理咨询有限公司,B
E302,***机电设备有限公司,C
E303,***图书发行有限公司,B
E304,***环保科技有限公司,C
E305,***劳务有限公司,B
E306,个体经营E306 ,A
E307,***通信工程有限公司,B
E308,***餐饮文化服务有限公司,A
E309,个体经营E309 ,A
E310,***律师事务所,A
E311,***律师事务所,A
E312,***家居用品有限公司,B
E313,***物流有限公司,B
E314,***房地产营销策划有限公司,B
E315,***轮胎有限公司,B
E316,个体经营E316 ,C
E317,***科技有限公司,C
E318,***商贸有限公司,B
E319,个体经营E319 ,A
E320,***建筑设计有限公司,C
E321,***生物流有限公司,C
E322,***装饰工程设计有限公司,B
E323,***建筑装饰工程有限公司,C
E324,***汽贸有限公司,C
E325,***通讯器材有限公司,B
E326,***包装材料有限公司,B
E327,个体经营E327 ,C
E328,***科技有限公司,B
E329,***园艺有限责任公司,B
E330,***酒店管理有限公司,B
E331,***广告有限公司,B
E332,***商贸有限公司,C
E333,***房地产营销策划有限公司,C
E334,***机械科技有限公司,C
E335,***挖掘机租赁经营部,C
E336,***猕猴桃专业合作社,C
E337,个体经营E337 ,A
E338,***商贸有限公司,B
E339,***居益卫浴家俬厂,B
E340,***物流有限公司,A
E341,***纺织品有限公司,A
E342,***裕华机械厂,B
E343,***五金工具经营部,C
E344,***机械有限公司,A
E345,***科技有限公司,B
E346,个体经营E346 ,A
E347,***不锈钢材料有限公司,A
E348,***酒店管理有限公司,A
E349,***营销策划广告有限公司,C
E350,***演艺设备有限公司,B
E351,***文化传播有限公司,D
E352,***居装饰工程有限公司,C
E353,***税务师事务所有限公司,A
E354,***广告有限公司,B
E355,***地毯经营部,D
E356,***建材装饰部,D
E357,***家居经营部,D
E358,***五金经营部,B
E359,***厨房用品经营部,B
E360,***建筑劳务有限公司,C
E361,***勘察设计工程有限公司,B
E362,***建材有限公司,B
E363,***建筑工程设计有限公司,D
E364,***电子有限公司,A
E365,***信息技术有限公司,B
E366,***房地产经纪有限公司,D
E367,***电子商务有限公司,B
E368,***通信科技有限责任公司,D
E369,***网络技术有限公司,D
E370,***设计服务部,A
E371,***自动化科技有限公司,D
E372,***汽车维修有限责任公司,B
E373,个体经营E373 ,D
E374,***建材经营部,A
E375,***电器经营部,D
E376,***建筑装饰设计有限责任公司,D
E377,***文化传播有限公司,D
E378,***商贸有限公司,D
E379,***药业有限公司,C
E380,***建材有限公司,D
E381,***通信网络工程有限公司,D
E382,***教育信息咨询有限公司***分公司,D
E383,***通讯器材经营部,D
E384,个体经营E384 ,C
E385,***装饰工程有限公司,D
E386,个体经营E386 ,C
E387,***农副产品经营部,D
E388,***商贸有限公司,D
E389,***清洁服务有限公司,D
E390,***建筑工程有限公司,D
E391,***五金店,D
E392,***科技有限公司,D
E393,***商贸有限责任公司,D
E394,***环保设计研究院（有限合伙）,C
E395,***网络科技有限公司,B
E396,***文化传播有限公司,D
E397,***大闸蟹经营部,D
E398,***医疗管理咨询有限公司,D
E399,***装饰工程有限公司,D
E400,***办公用品经营部,D
E401,***遮阳技术发展中心,D
E402,***商贸有限公司,D
E403,***机械有限公司,D
E404,个体经营E404 ,D
E405,***职业技能服务有限公司,D
E406,***招投标代理有限公司,D
E407,***装饰工程有限公司,B
E408,***空调制冷有限责任公司,D
E409,***塑胶有限公司,D
E410,***网络科技有限公司,D
E411,***机电设备有限公司,D
E412,***汽车贸易有限公司,D
E413,***石材工艺品有限公司,D
E414,***物流有限责任公司***分公司,D
E415,***广告设计服务部,D
E416,***科技有限公司,D
E417,***园林景观工程有限公司,D
E418,***营销策划有限公司,D
E419,***科技有限公司,D
E420,***康药房,D
E421,***保温材料有限公司,D
E422,***童装店,D
E423,***通风设备有限公司,D
E424,***贸易有限公司,D
E425,***商贸有限公司,D
